Model No.,Frequency (Hz),Phase,HP,Power(KW),Outlet (mm),Outlet (inch),Pass Solid Dia(mm),Max Flow (LPM),Max Head (M),Max Head (ft),Category,Product Link
KSV-1500,60,3,2,1.5kW,80,"3""",20,800,17,56,,https://www.hungpump.com/ksv
KSV-250,60,1,1/3,250W,40,"1-1/2""",5,240,7,23,,https://www.hungpump.com/ksv
KSV-250,60,1,1/3,250W,40,"1-1/2""",5,240,7,23,,https://www.hungpump.com/ksv
KSV-400,60,1,1/2,400W,50,"2""",10,300,9,30,,https://www.hungpump.com/ksv
KSV-400,60,1,1/2,400W,50,"2""",10,300,9,30,,https://www.hungpump.com/ksv
KSV-550,60,1,3/4,550W,50,"2""",15,330,10,33,,https://www.hungpump.com/ksv
KSV-550,60,1,3/4,550W,50,"2""",15,330,10,33,,https://www.hungpump.com/ksv
KSV-750,60,1,1,750W,80,"3""",15,430,11,36,,https://www.hungpump.com/ksv
KSV-750,60,1,1,750W,80,"3""",15,430,11,36,,https://www.hungpump.com/ksv
KT-215,60,1,2,1.5kW,50,"2""",N/A,460,26,85,Construction,https://www.hungpump.com/kt
KT-215,60,3,2,1.5kW,50,"2""",N/A,460,26,85,Construction,https://www.hungpump.com/kt
KT-215,60,3,2,1.5kW,50,"2""",N/A,460,26,85,Construction,https://www.hungpump.com/kt
KT-222,60,3,3,2.2kW,50,"2""",N/A,720,33,108,Construction,https://www.hungpump.com/kt
KT-222,60,3,3,2.2kW,50,"2""",N/A,720,33,108,Construction,https://www.hungpump.com/kt
KT-237,60,3,5,3.7kW,50,"2""",N/A,550,37,121,Construction,https://www.hungpump.com/kt
KT-237,60,3,5,3.7kW,50,"2""",N/A,550,37,121,Construction,https://www.hungpump.com/kt
KT-315,60,1,2,1.5kW,80,"3""",N/A,610,17,56,Construction,https://www.hungpump.com/kt
KT-315,60,3,2,1.5kW,80,"3""",N/A,610,17,56,Construction,https://www.hungpump.com/kt
KT-315,60,3,2,1.5kW,80,"3""",N/A,610,17,56,Construction,https://www.hungpump.com/kt
KT-322,60,3,3,2.2kW,80,"3""",N/A,800,22,72,Construction,https://www.hungpump.com/kt
KT-322,60,3,3,2.2kW,80,"3""",N/A,800,22,72,Construction,https://www.hungpump.com/kt
KT-322,60,3,3,2.2kW,80,"3""",N/A,800,22,72,Construction,https://www.hungpump.com/kt
KT-337,60,3,5,3.7kW,80,"3""",N/A,950,31,102,Construction,https://www.hungpump.com/kt
KT-337,60,3,5,3.7kW,80,"3""",N/A,950,31,102,Construction,https://www.hungpump.com/kt
KT-355,60,3,7.5,5.5kW,80,"3""",N/A,970,40,131,Construction,https://www.hungpump.com/kt
KT-355,60,3,7.5,5.5kW,80,"3""",N/A,970,40,131,Construction,https://www.hungpump.com/kt
KT-4110,60,3,15,11kW,100,"4""",N/A,1630,48,157,Construction,https://www.hungpump.com/kt
KT-4110,60,3,15,11kW,100,"4""",N/A,1630,48,157,Construction,https://www.hungpump.com/kt
KT-4150,60,3,20,15kW,100,"4""",N/A,1930,52,171,Construction,https://www.hungpump.com/kt
KT-4150,60,3,20,15kW,100,"4""",N/A,1930,52,171,Construction,https://www.hungpump.com/kt
KT-437,60,3,5,3.7kW,100,"4""",N/A,1560,18,59,Construction,https://www.hungpump.com/kt
KT-437,60,3,5,3.7kW,100,"4""",N/A,1560,18,59,Construction,https://www.hungpump.com/kt
KT-455,60,3,7.5,5.5kW,100,"4""",N/A,1520,28,92,Construction,https://www.hungpump.com/kt
KT-455,60,3,7.5,5.5kW,100,"4""",N/A,1520,28,92,Construction,https://www.hungpump.com/kt
KT-475,60,3,10,7.5kW,100,"4""",N/A,1590,38,125,Construction,https://www.hungpump.com/kt
KT-475,60,3,10,7.5kW,100,"4""",N/A,1590,38,125,Construction,https://www.hungpump.com/kt
KT-6110,60,3,15,11kW,150,"6""",N/A,2450,34,112,Construction,https://www.hungpump.com/kt
KT-6110,60,3,15,11kW,150,"6""",N/A,2450,34,112,Construction,https://www.hungpump.com/kt
KT-6150,60,3,20,15kW,100,"4""",N/A,2960,40,131,Construction,https://www.hungpump.com/kt
KT-6150,60,3,20,15kW,100,"4""",N/A,2960,40,131,Construction,https://www.hungpump.com/kt
KT-675,60,3,10,7.5kW,150,"6""",N/A,2060,28,92,Construction,https://www.hungpump.com/kt
KT-675,60,3,10,7.5kW,150,"6""",N/A,2060,28,92,Construction,https://www.hungpump.com/kt
MAS-150,60,1,1/5,150W,40,"1-1/2""",19,220,6.5,21,Clean Water,https://www.hungpump.com/mas
MAS-150,60,1,1/5,150W,40,"1-1/2""",19,220,6.5,21,Clean Water,https://www.hungpump.com/mas
MAS-250,60,1,1/3,250W,40,"1-1/2""",19,280,9,30,Clean Water,https://www.hungpump.com/mas
MAS-250,60,1,1/3,250W,50,"2""",19,280,9,30,Clean Water,https://www.hungpump.com/mas
MAS-250,60,1,1/3,250W,40,"1-1/2""",19,280,9,30,Clean Water,https://www.hungpump.com/mas
MAS-250,60,1,1/3,250W,50,"2""",19,280,9,30,Clean Water,https://www.hungpump.com/mas
MAS-400,60,1,1/2,400W,50,"2""",19,320,10.5,34,Clean Water,https://www.hungpump.com/mas
MAS-400,60,1,1/2,400W,50,"2""",19,320,10.5,34,Clean Water,https://www.hungpump.com/mas
MAS-750,60,1,1,750W,50,"2""",19,380,13,43,Clean Water,https://www.hungpump.com/mas
MAS-750,60,1,1,750W,50,"2""",19,380,13,43,Clean Water,https://www.hungpump.com/mas
MH-150,60,1,1/5,150W,50,"2""",6,210,6,20,Clean Water,https://www.hungpump.com/mh
MH-150,60,1,1/5,150W,50,"2""",6,210,6,20,Clean Water,https://www.hungpump.com/mh
MH-250,60,1,1/3,250W,50,"2""",6,230,7,23,Clean Water,https://www.hungpump.com/mh
MH-250,60,1,1/3,250W,50,"2""",6,230,7,23,Clean Water,https://www.hungpump.com/mh
MH-400,60,1,1/2,400W,50,"2""",6,320,10,33,Clean Water,https://www.hungpump.com/mh
MH-400-FR,60,1,1/2,400W,50,"2""",6,320,10,33,Clean Water,https://www.hungpump.com/mh
MH-400,60,1,1/2,400W,50,"2""",6,320,10,33,Clean Water,https://www.hungpump.com/mh
MH-400-FR,60,1,1/2,400W,50,"2""",6,320,10,33,Clean Water,https://www.hungpump.com/mh
MH-750,60,1,1,750W,50,"2""",6,390,12.5,41,Clean Water,https://www.hungpump.com/mh
MH-750-FR,60,1,1,750W,50,"2""",6,390,12.5,41,Clean Water,https://www.hungpump.com/mh
MH-750,60,1,1,750W,50,"2""",6,390,12.5,41,Clean Water,https://www.hungpump.com/mh
MH-750-FR,60,1,1,750W,50,"2""",6,390,12.5,41,Clean Water,https://www.hungpump.com/mh
MH-750,60,3,1,750W,50,"2""",6,390,12.5,41,Clean Water,https://www.hungpump.com/mh
MH-750,60,3,1,750W,50,"2""",6,390,12.5,41,Clean Water,https://www.hungpump.com/mh
MVH-10,60,1,3/4,550W,25,"1""",3,100,32,105,High Pressure,https://www.hungpump.com/mvh
MVH-10,60,1,3/4,550W,25,"1""",3,100,32,105,High Pressure,https://www.hungpump.com/mvh
BCP-20,50,1,1/8,95W,11,,N/A,300,5.8,19,,https://www.hungpump.com/bcp
CBP-330,50,1,3,2.2kW,80,"3""",3,1200,11.5,38,Clean Water,https://www.hungpump.com/cbp
CBP-330,50,3,3,2.2kW,80,"3""",3,1200,11.5,38,Clean Water,https://www.hungpump.com/cbp
CBP-330T,50,3,3,2.2kW,100,"4""",3,1200,11.5,38,Clean Water,https://www.hungpump.com/cbp
CBP-440,50,3,4,3kW,100,"4""",3,1300,13,43,Clean Water,https://www.hungpump.com/cbp
CBP-440T,50,3,4,3kW,100,"4""",3,1300,13,43,Clean Water,https://www.hungpump.com/cbp
CBP-540,50,3,5,3.7kW,100,"4""",3,1550,17.5,57,Clean Water,https://www.hungpump.com/cbp
CBP-540T,50,3,5,3.7kW,100,"4""",3,1550,17.5,57,Clean Water,https://www.hungpump.com/cbp
CBP-740,50,3,7.5,5.5kW,100,"4""",3,1700,23,75,Clean Water,https://www.hungpump.com/cbp
CBP-740T,50,3,7.5,5.5kW,100,"4""",3,11700,23,75,Clean Water,https://www.hungpump.com/cbp
GP-90,50,1,1/4,200W,25,"1""",N/A,40,32,106,Construction,https://www.hungpump.com/gp
GP-90S,50,1,1/4,200W,25,"1""",N/A,40,32,106,Construction,https://www.hungpump.com/gp
HC-40,50,1,4,3kW,50,"2""",1,250,60,197,,https://www.hungpump.com/hc
HC-40,50,3,4,3kW,50,"2""",1,250,60,197,,https://www.hungpump.com/hc
HI-128,50,1,1/4,200W,25,"1""",1,35,32,105,Booster,https://www.hungpump.com/hi
HI-168,50,1,1/4,200W,25,"1""",N/A,34,24,92,Booster,https://www.hungpump.com/hi
HI-200,50,1,1/4,200W,20,"3/4""",N/A,55,24,79,Booster,https://www.hungpump.com/hi
HI-200,50,1,1/4,200W,25,"1""",N/A,55,24,79,Booster,https://www.hungpump.com/hi
HI-200R,50,1,1/4,200W,25,"1""",N/A,55,24,79,Booster,https://www.hungpump.com/hi
HI-200F,50,1,1/4,200W,25,"1""",1,55,24,79,Booster,https://www.hungpump.com/hi
HI-200S,50,1,1/4,200W,20,"3/4""",N/A,55,24,79,Booster,https://www.hungpump.com/hi
HI-200S,50,1,1/4,200W,25,"1""",N/A,55,24,79,Booster,https://www.hungpump.com/hi
HI-200V,50,3,1/4,200W,25,"1""",N/A,55,24,79,Booster,https://www.hungpump.com/hi
HI-400,50,1,1/2,400W,25,"1""",N/A,70,28,92,Booster,https://www.hungpump.com/hi
HI-400S,50,1,1/2,400W,25,"1""",N/A,70,28,92,Booster,https://www.hungpump.com/hi
HMD-06,50,1,1/10,65W,20,"3/4""",N/A,37,4.6,15,,https://www.hungpump.com/hmd
HMD-09,50,1,1/8,90W,25,"1""",N/A,60,7,23,,https://www.hungpump.com/hmd
HMD-150,50,3,2,1.5kW,40,"1-1/2""",N/A,390,23,75,,https://www.hungpump.com/hmd
HMD-18,50,1,1/5,180W,25,"1""",N/A,73,7,23,,https://www.hungpump.com/hmd
HMD-220,50,3,3,2.2kW,40,"1-1/2""",,465,23,75,,https://www.hungpump.com/hmd
HMD-25,50,1,1/3,250W,25,"1""",N/A,91,8.6,28,,https://www.hungpump.com/hmd
HMD-350,50,3,5,3.7kW,50,"2""",N/A,570,25,82,,https://www.hungpump.com/hmd
HMD-37,50,1,1/2,400W,40,"1-1/2""",N/A,285,12,39,,https://www.hungpump.com/hmd
HMD-75,50,1,1,750W,40,"1-1/2""",N/A,355,18,59,,https://www.hungpump.com/hmd
HOME-05,50,1,1/2,400W,25,"1""",3,60,36,118,,https://www.hungpump.com/home
HOME-10,50,1,1,750W,25,"1""",3,75,42,138,,https://www.hungpump.com/home
HOME-200,50,1,1/4,200W,20,"3/4""",N/A,55,24,79,,https://www.hungpump.com/home
HOME-200,50,1,1/4,200W,25,"1""",N/A,55,24,79,,https://www.hungpump.com/home
HOME-400,50,1,1/2,400W,25,"1""",N/A,70,28,92,,https://www.hungpump.com/home
HWCP ll-FS,50,1,3/4,550W,32,"1-1/4""",N/A,138,11,36,BLDC,https://www.hungpump.com/data-234533
HWCP ll-FT,50,1,3/4,550W,32,"1-1/4""",N/A,138,11,36,BLDC,https://www.hungpump.com/data-234533
HWCP lll-FS,50,1,3/4,550W,32,"1-1/4""",N/A,138,11,36,BLDC,https://www.hungpump.com/data-234533
HWCP lll-FT,50,1,3/4,550W,32,"1-1/4""",N/A,138,11,36,BLDC,https://www.hungpump.com/data-234533
HWCP lll-NS,50,1,3/4,550W,32,"1-1/4""",N/A,138,11,36,BLDC,https://www.hungpump.com/data-234533
HWCP lll-ST,50,1,3/4,550W,32,"1-1/4""",N/A,138,11,36,BLDC,https://www.hungpump.com/data-234533
HWCP ll-NS,50,1,3/4,550W,32,"1-1/4""",N/A,138,11,36,BLDC,https://www.hungpump.com/data-234533
HWCP ll-ST,50,1,3/4,550W,32,"1-1/4""",N/A,138,11,36,BLDC,https://www.hungpump.com/data-234533
HWCP,50,1,3/4,550W,32,"1-1/4""",N/A,138,11,36,BLDC,https://www.hungpump.com/data-234533
J-200,50,1,1/4,200W,25,"1""",N/A,70,13,43,,https://www.hungpump.com/j
JA-80,50,1,1/10,80W,20,"3/4""",1,23,8.5,28,Booster,https://www.hungpump.com/ja
JA-80S,50,1,1/10,80W,20,"3/4""",1,23,8.5,28,Booster,https://www.hungpump.com/ja
LSJ-05,50,1,1/2,400W,25,"1""",N/A,60,36,118,Booster,https://www.hungpump.com/lsj
LSJ-05,50,3,1/2,400W,25,"1""",N/A,60,36,118,Booster,https://www.hungpump.com/lsj
LSJ-05,50,1,1/2,400W,25,"1""",3,60,36,118,Booster,https://www.hungpump.com/lsj
LSJ-05D,50,1,1/2,400W,25,"1""",N/A,60,36,118,Booster,https://www.hungpump.com/lsj
LSJ-05D,50,3,1/2,400W,25,"1""",N/A,60,36,118,Booster,https://www.hungpump.com/lsj
LSJ-05D,50,1,1/2,400W,25,"1""",3,60,36,118,Booster,https://www.hungpump.com/lsj
LSJ-05E,50,1,1/2,400W,25,"1""",N/A,60,36,118,Booster,https://www.hungpump.com/lsj
LSJ-05E,50,3,1/2,400W,25,"1""",N/A,60,36,118,Booster,https://www.hungpump.com/lsj
LSJ-10,50,1,1,750W,25,"1""",N/A,75,42,138,Booster,https://www.hungpump.com/lsj
LSJ-10,50,3,1,750W,25,"1""",N/A,75,42,138,Booster,https://www.hungpump.com/lsj
LSJ-10,50,1,1,750W,25,"1""",3,75,42,138,Booster,https://www.hungpump.com/lsj
LSJ-10E,50,1,1,750W,25,"1""",N/A,75,42,138,Booster,https://www.hungpump.com/lsj
LSJ-10ET,50,3,1,750W,25,"1""",N/A,75,42,138,Booster,https://www.hungpump.com/lsj
MT-105,50,1,3,2.2kW,50,"2""",2,320,50,164,Booster,https://www.hungpump.com/mt
MT-105T,50,3,3,2.2kW,50,"2""",2,320,50,164,Booster,https://www.hungpump.com/mt
MT-43,50,1,1,750W,25,"1""",2,130,37,121,Booster,https://www.hungpump.com/mt
MT-43T,50,3,1,750W,25,"1""",2,130,37,121,Booster,https://www.hungpump.com/mt
MT-44,50,1,1.5,1.1kW,25,"1""",2,130,50,164,Booster,https://www.hungpump.com/mt
MT-44T,50,3,1.5,1.1kW,25,"1""",2,130,50,164,Booster,https://www.hungpump.com/mt
MT-45,50,1,2,1.5kW,25,"1""",2,130,60,197,Booster,https://www.hungpump.com/mt
MT-45T,50,3,2,1.5kW,25,"1""",2,130,60,197,Booster,https://www.hungpump.com/mt
MT-46,50,1,2,1.5kW,25,"1""",2,130,75,246,Booster,https://www.hungpump.com/mt
MT-46T,50,3,2,1.5kW,25,"1""",2,130,75,246,Booster,https://www.hungpump.com/mt
MT-46T,50,3,2,1.5kW,25,"1""",2,130,75,246,Booster,https://www.hungpump.com/mt
MT-83,50,1,1.5,1.1kW,32,"1-1/4""",2,320,31,102,Booster,https://www.hungpump.com/mt
MT-83T,50,3,1.5,1.1kW,32,"1-1/4""",2,320,31,102,Booster,https://www.hungpump.com/mt
MT-84,50,1,2,1.5kW,32,"1-1/4""",2,320,40,131,Booster,https://www.hungpump.com/mt
MT-84T,50,3,2,1.5kW,32,"1-1/4""",2,320,40,131,Booster,https://www.hungpump.com/mt
MT-84T,50,3,2,1.5kW,32,"1-1/4""",2,320,40,131,Booster,https://www.hungpump.com/mt
MT-85,50,1,3,2.2kW,32,"1-1/4""",2,320,47,154,Booster,https://www.hungpump.com/mt
MT-85T,50,3,3,2.2kW,32,"1-1/4""",2,320,47,154,Booster,https://www.hungpump.com/mt
MT-85T,50,3,3,2.2kW,32,"1-1/4""",3,320,47,154,Booster,https://www.hungpump.com/mt
MTS-162,50,1,2,1.5kW,50,"2""",N/A,540,28,92,,https://www.hungpump.com/mts
MTS-162T,50,3,2,1.5kW,50,"2""",N/A,540,28,92,,https://www.hungpump.com/mts
MTS-163T,50,3,3,2.2kW,50,"2""",N/A,540,40,131,,https://www.hungpump.com/mts
MTS-163T,50,3,3,2.2kW,50,"2""",3,540,40,131,,https://www.hungpump.com/mts
MTS-163T,50,3,3,2.2kW,50,"2""",3,540,40,131,,https://www.hungpump.com/mts
MTS-163,50,1,3,2.2kW,50,"2""",N/A,540,40,131,,https://www.hungpump.com/mts
MTS-164T,50,3,5,3.7kW,50,"2""",N/A,540,55,180,,https://www.hungpump.com/mts
MTS-164T,50,3,5,3.7kW,50,"2""",3,540,55,180,,https://www.hungpump.com/mts
MTS-164T,50,3,5,3.7kW,50,"2""",3,540,55,180,,https://www.hungpump.com/mts
MTS-32,50,1,1/3,250W,25,"1""",N/A,85,20,66,,https://www.hungpump.com/mts
MTS-32T,50,3,1/3,250W,25,"1""",N/A,85,20,66,,https://www.hungpump.com/mts
MTS-33,50,1,1/2,400W,25,"1""",N/A,85,27,89,,https://www.hungpump.com/mts
MTS-33T,50,3,1/2,400W,25,"1""",N/A,85,27,89,,https://www.hungpump.com/mts
MTS-34,50,1,3/4,550W,25,"1""",N/A,85,36,118,,https://www.hungpump.com/mts
MTS-34T,50,3,3/4,550W,25,"1""",N/A,85,36,118,,https://www.hungpump.com/mts
MTS-35,50,1,1,750W,25,"1""",N/A,85,44,144,,https://www.hungpump.com/mts
MTS-35T,50,3,1,750W,25,"1""",N/A,85,44,144,,https://www.hungpump.com/mts
MTS-36,50,1,1.5,1.1kW,25,"1""",N/A,85,53,174,,https://www.hungpump.com/mts
MTS-36T,50,3,1.5,1.1kW,25,"1""",N/A,85,53,174,,https://www.hungpump.com/mts
MTS-52,50,1,1/2,400W,25,"1""",N/A,140,19,62,,https://www.hungpump.com/mts
MTS-52T,50,3,1/2,400W,25,"1""",N/A,140,19,62,,https://www.hungpump.com/mts
MTS-53,50,1,3/4,550W,25,"1""",N/A,140,29,95,,https://www.hungpump.com/mts
MTS-53T,50,3,3/4,550W,25,"1""",N/A,140,29,95,,https://www.hungpump.com/mts
MTS-54,50,1,1,750W,25,"1""",N/A,140,38,125,,https://www.hungpump.com/mts
MTS-54,50,3,1,750W,25,"1""",N/A,140,38,125,,https://www.hungpump.com/mts
MTS-54T,50,3,1,750W,25,"1""",N/A,140,38,125,,https://www.hungpump.com/mts
MTS-55,50,1,1.5,1.1kW,25,"1""",N/A,140,47,154,,https://www.hungpump.com/mts
MTS-55T,50,3,1.5,1.1kW,25,"1""",N/A,140,47,154,,https://www.hungpump.com/mts
MTS-56,50,1,2,1.5kW,25,"1""",N/A,140,56,184,,https://www.hungpump.com/mts
MTS-56T,50,3,2,1.5kW,25,"1""",N/A,140,56,184,,https://www.hungpump.com/mts
MTS-83,50,1,1.5,1.1kW,40,"1-1/2""",N/A,310,33,108,,https://www.hungpump.com/mts
MTS-83T,50,3,1.5,1.1kW,40,"1-1/2""",N/A,310,33,108,,https://www.hungpump.com/mts
MTS-84,50,1,2,1.5kW,40,"1-1/2""",N/A,310,44,144,,https://www.hungpump.com/mts
MTS-84T,50,3,2,1.5kW,40,"1-1/2""",N/A,310,44,144,,https://www.hungpump.com/mts
MTS-85,50,1,3,2.2kW,40,"1-1/2""",N/A,310,55,180,,https://www.hungpump.com/mts
MTS-85T,50,3,3,2.2kW,40,"1-1/2""",N/A,310,55,180,,https://www.hungpump.com/mts
MTS-86T,50,3,5,3.7kW,40,"1-1/2""",N/A,310,66,216,,https://www.hungpump.com/mts
MTV-127T,50,3,5,3.7kW,32,"1-1/4""",3,330,95,312,,https://www.hungpump.com/mtv
MTV-48T,50,3,3,2.2kW,25,"1""",3,120,105,344,,https://www.hungpump.com/mtv
MTVS-608T,50,3,4,3kW,32,"1-1/4""",3,180,118,387,,https://www.hungpump.com/mtvs
PC-500E,50,1,1.5,1.1kW,25,"1""",N/A,30,90,295,,https://www.hungpump.com/pc
SC-30,50,3,3,2.2kW,,,,,,-,,https://www.hungpump.com/sc
SC-50,50,3,5,3.7kW,,,,,,-,,https://www.hungpump.com/sc
SC-75,50,3,7.5,5.5kW,,,,,,-,,https://www.hungpump.com/sc
SMC-05,50,1,1/2,0.37kW,,,,,,-,,https://www.hungpump.com/smc
SMC-10,50,1,1,0.75kW,,,,,,-,,https://www.hungpump.com/smc
SMC-20,50,1,2,1.5,,,,,,-,,https://www.hungpump.com/smc
SMP-10,50,1,1,750W,40,"1-1/2""",N/A,310,14,46,Clean Water,https://www.hungpump.com/smp
SMP-10,50,3,1,750W,40,"1-1/2""",N/A,310,14,46,Clean Water,https://www.hungpump.com/smp
SMP-20,50,1,2,1.5kW,50,"2""",N/A,460,16,52,Clean Water,https://www.hungpump.com/smp
SMP-20,50,3,2,1.5kW,50,"2""",N/A,460,16,52,Clean Water,https://www.hungpump.com/smp
SMP-30,50,1,3,2.2kW,50,"2""",N/A,520,20,66,Clean Water,https://www.hungpump.com/smp
SMP-30,50,3,3,2.2kW,50,"2""",N/A,520,20,66,Clean Water,https://www.hungpump.com/smp
SMP-30,50,3,3,2.2kW,50,"2""",2,520,20,66,Clean Water,https://www.hungpump.com/smp
SPA-07,50,1,3/4,550W,40,"1-1/2""",2,270,10,33,,https://www.hungpump.com/spa
SPA-10,50,1,1,750W,40,"1-1/2""",N/A,320,13.5,44,,https://www.hungpump.com/spa
SPA-150B,50,1,1,750W,40,"1-1/2""",N/A,350,15.5,51,,https://www.hungpump.com/spa
SPA-20,50,1,2,1.5kW,50,"2""",2,620,14,46,,https://www.hungpump.com/spa
SPA-20,50,3,2,1.5kW,50,"2""",2,620,14,46,,https://www.hungpump.com/spa
SPA-30,50,1,3,2.2kW,50,"2""",2,730,18,59,,https://www.hungpump.com/spa
SPA-30,50,3,3,2.2kW,50,"2""",2,730,18,59,,https://www.hungpump.com/spa
SPA-30T,50,3,3,2.2kW,50,"2""",,730,18,59,,https://www.hungpump.com/spa
SW-120,50,1,1-1/4,1kW,25,"1""",3,140,28,92,,https://www.hungpump.com/sw
SW-120S,50,1,1-1/4,1kW,25,"1""",3,140,28,92,,https://www.hungpump.com/sw
SW-120ST,50,3,1-1/4,1kW,25,"1""",3,140,28,92,,https://www.hungpump.com/sw
SW-120T,50,3,1-1/4,1kW,25,"1""",3,140,28,92,,https://www.hungpump.com/sw
SW-220,50,1,2,1.5kW,50,"2""",N/A,630,24,79,,https://www.hungpump.com/sw
SW-220T,50,3,2,1.5kW,50,"2""",N/A,630,24,79,,https://www.hungpump.com/sw
SW-250,50,1,2.5,1.85kW,32,"1-1/4""",3,300,30,98,,https://www.hungpump.com/sw
SW-250,50,3,2.5,1.85kW,32,"1-1/4""",3,300,30,98,,https://www.hungpump.com/sw
SW-250S,50,1,2.5,1.85kW,32,"1-1/4""",3,300,30,98,,https://www.hungpump.com/sw
SW-250ST,50,3,2.5,1.85kW,32,"1-1/4""",3,300,30,98,,https://www.hungpump.com/sw
SW-320,50,1,3,2.2kW,50,"2""",N/A,650,29,95,,https://www.hungpump.com/sw
SW-320T,50,3,3,2.2kW,50,"2""",N/A,650,29,95,,https://www.hungpump.com/sw
SW-420,50,3,4,3kW,50,"2""",N/A,680,31,102,,https://www.hungpump.com/sw
SW-420T,50,3,4,3kW,50,"2""",3,680,31,102,,https://www.hungpump.com/sw
SW-60,50,1,1/2,400W,25,"1""",3,120,17,56,,https://www.hungpump.com/sw
SW-60S,50,1,1/2,400W,25,"1""",3,120,17,56,,https://www.hungpump.com/sw
SW-60ST,50,3,1/2,400W,25,"1""",3,120,17,56,,https://www.hungpump.com/sw
SW-60T,50,3,1/2,400W,25,"1""",3,120,17,56,,https://www.hungpump.com/sw
SWO-220,50,1,2,1.5kW,50,"2""",8,620,14,46,Booster,https://www.hungpump.com/swo
SWO-220T,50,3,2,1.5kW,50,"2""",8,620,14,46,Booster,https://www.hungpump.com/swo
SWO-320,50,1,3,2.2kW,50,"2""",8,660,16,52,Booster,https://www.hungpump.com/swo
SWO-320T,50,3,3,2.2kW,50,"2""",8,660,16,52,Booster,https://www.hungpump.com/swo
SWO-420T,50,3,4,3kW,50,"2""",8,730,20,66,Booster,https://www.hungpump.com/swo
SWO-60,50,1,1/2,400W,25,"1""",N/A,150,12,39,Booster,https://www.hungpump.com/swo
SWO-60T,50,3,1/2,400W,25,"1""",N/A,150,12,39,Booster,https://www.hungpump.com/swo
SWO-120,50,1,1-1/4,1kW,50,"2""",18,500,10,33,Booster,https://www.hungpump.com/swo
SWO-120T,50,1,1-1/4,1kW,50,"2""",18,500,10,33,Booster,https://www.hungpump.com/swo
SWP-10,50,1,1,0.75kW,50,"2""",N/A,350,12,39,,https://www.hungpump.com/swp
SWP-20,50,1,2,1.5kW,50,"2""",N/A,500,19,62,,https://www.hungpump.com/swp
SWP-30,50,1,3,2.2kW,50,"2""",N/A,600,21,69,,https://www.hungpump.com/swp
SWP-30,50,3,3,2.2kW,50,"2""",N/A,600,21,69,,https://www.hungpump.com/swp
SWP-40,50,3,4,3kW,50,"2""",2,650,22,72,,https://www.hungpump.com/swp
SWP-40T,50,3,4,3kW,69,"2-3/4""",,650,25,82,,https://www.hungpump.com/swp
TP-40,50,1,1/2,400W,20,"3/4""",N/A,40,4,13,,https://www.hungpump.com/tp
UP-906A,50,1,1,750W,,,,,,-,,https://www.hungpump.com/up